
title,category,subcategory,region,subRegion,location,notes,_sheet,slug,tags,prerequisites,weight
Golden Seed,Flask,' ',,,West Limgrave,Return to the Gatefront SoG. Go through the large gate and along the road through the canyon. You will find the Golden Tree on the right containing this item,Base Game,golden-seed-west-limgrave,base-game,' ',1.0
Stormhill Shack,SoG/Location,' ',,,West Limgrave,"After finding the golden seed along the road from the Gatefront SoG, continue along the road North and you'll find this SoG to the right",Base Game,stormhill-shack-west-limgrave,base-game,' ',1.0
Roderika,NPC,' ',,,West Limgrave,Speak to her in the Stormhill Shack until she gives you the Sitting Sideways gesture and the Spirit Jellyfish Ashes,Base Game,roderika-west-limgrave,base-game,' ',1.0
Sitting Sideways,Gesture,' ',,,West Limgrave,Received from talking to Roderika,Base Game,sitting-sideways-west-limgrave,base-game,' ',1.0
Spirt Jellyfish Ashes,Spirit Ashes,' ',,,West Limgrave,Received from talking to Roderika. Needed for content later,Base Game,spirt-jellyfish-ashes-west-limgrave,base-game,' ',1.0
Godrick Soldier Ashes,Spirit Ashes,' ',,,West Limgrave,"From the Stormhill Shack SoG, head South/Southwest along the cliff edge, hug it to your right and you should be able to double back on the higher spot. Look for the graveyard area with the red jellyfish spirits",Base Game,godrick-soldier-ashes-west-limgrave,base-game,' ',1.0
Crossed Legs,Gesture,' ',,,West Limgrave,"From the Starlight Shard found in the previous step, or directly South from the Stormhill Shack SoG. Look for the structure with a corpse sitting on top",Base Game,crossed-legs-west-limgrave,base-game,' ',1.0
Arrow's Reach Talisman,Talisman,' ',,,West Limgrave,"Return to the Stormhill Shack SoG. Return to where you found the Golden Seed and follow the elevated area to the right. You'll see the two towers that make the large gate, go inside the tower on your side. Found in a chest",Base Game,arrow-s-reach-talisman-west-limgrave,base-game,' ',1.0
Warmaster's Shack,SoG/Location,' ',,,West Limgrave,Return to Stormhill Shack and head East. You'll mostly go along a path and a small hut with Knight Bernahl inside,Base Game,warmaster-s-shack-west-limgrave,base-game,' ',1.0
Knight Bernahl,NPC,' ',,,Warmaster's Shack,"Sells Ash of War. Exhaust Dialogue. Choose ""My Faith Holds True"" option",Base Game,knight-bernahl-warmaster-s-shack,base-game,' ',1.0
Ash of War: Stamp Upward Cut,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-stamp-upward-cut-warmaster-s-shack,base-game,' ',1.0
Ash of War: Kick,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-kick-warmaster-s-shack,base-game,' ',1.0
Ash of War: Endure,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-endure-warmaster-s-shack,base-game,' ',1.0
Ash of War: War Cry,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-war-cry-warmaster-s-shack,base-game,' ',1.0
Ash of War: Spinning Slash,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-spinning-slash-warmaster-s-shack,base-game,' ',1.0
Ash of War: Impaling Thrust,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-impaling-thrust-warmaster-s-shack,base-game,' ',1.0
Ash of War: Quickstep,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-quickstep-warmaster-s-shack,base-game,' ',1.0
Ash of War: Storm Blade,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-storm-blade-warmaster-s-shack,base-game,' ',1.0
Ash of War: Parry,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-parry-warmaster-s-shack,base-game,' ',1.0
Ash of War: No Skill,Ash of War,' ',,,Warmaster's Shack,Sold by Knight Bernahl,Base Game,ash-of-war-no-skill-warmaster-s-shack,base-game,' ',1.0
Bell Bearing Hunter,Invader,' ',,,Warmaster's Shack,Will invade at night. Drops the Bone Peddler's Bell Bearing. HARD FIGHT. You can come back later,Base Game,bell-bearing-hunter-warmaster-s-shack,base-game,' ',1.0
Bone Peddler's Bell Bearing,Key Item,' ',,,Warmaster's Shack,Dropped by the Bell Bearing Hunter at Warmaster's Shack,Base Game,bone-peddler-s-bell-bearing-warmaster-s-shack,base-game,' ',1.0
Beast Crest Heater Shield,Medium Shield,' ',,,West Limgrave,Northeast of Warmaster's Shack SoG in a chest in an enemy camp,Base Game,beast-crest-heater-shield-west-limgrave,base-game,' ',1.0
Iron Fist Alexander,NPC,' ',,,East Limgrave,"East of camp leading from Warmaster's Shack. Speak to him, then knock him out of the hole, then exhaust dialogue. NOTE: You can kill him here to receive the Warrior Jar Shard, but you will not be able to complete his questline. Recommended to do this at the start of your second playthrough",Base Game,iron-fist-alexander-east-limgrave,base-game,' ',1.0
Warrior Jar Shard,Talisman,' ',,,East Limgrave,Kill Alexander here for this talisman. This does end his questline,Base Game,warrior-jar-shard-east-limgrave,base-game,' ',1.0
Triumphant Delight,Gesture,' ',,,East Limgrave,Received from Iron Fist Alexander after freeing him,Base Game,triumphant-delight-east-limgrave,base-game,' ',1.0
Saintsbridge,SoG/Location,' ',,,East Limgrave,"Backtrack down to the path leading back to the camp, then head East along the path. Should be just below where you first met Iron Fist Alexander",Base Game,saintsbridge-east-limgrave,base-game,' ',1.0
Rear Gael Tunnel Entrance,SoG/Location,' ',,,East Limgrave,"Return to the Third Church of Marika SoG, head North and continue up the spirit springs until you pass a pack of wolves, go up that spirit spring and the tunnel should be to the right of the final spirit spring leading to Caelid. You can find Iron Fist Alexander here",Base Game,rear-gael-tunnel-entrance-east-limgrave,base-game,' ',1.0
Nomadic Merchant,NPC,' ',,,East Limgrave,"From Saintsbridge SoG, head across the bridge past the pumpkin head enemy and you'll find him just to the right after the bridge. Kill for Nomadic Merchant's Bell Bearing 1",Base Game,nomadic-merchant-east-limgrave,base-game,' ',1.0
Nomadic Merchant's Bell Bearing 1,Bell Bearing,' ',,,East Limgrave,Received from killing Nomadic Merchant near Saintsbridge,Base Game,nomadic-merchant-s-bell-bearing-1-east-limgrave,base-game,' ',1.0
Nomadic Warrior's Cookbook 3,Cookbook,' ',,,East Limgrave,"Sold by merchant, across the bridge and to the right",Base Game,nomadic-warrior-s-cookbook-3-east-limgrave,base-game,' ',1.0
Halberd,Halberd,' ',,,East Limgrave,"Sold by merchant, across the bridge and to the right",Base Game,halberd-east-limgrave,base-game,' ',1.0
Short Sword,Straight Sword,' ',,,West Limgrave,"Sold by merchant, across the bridge and to the right",Base Game,short-sword-west-limgrave,base-game,' ',1.0
Bandit Mask,Helmet,' ',,,East Limgrave,"Sold by merchant, across the bridge and to the right. Part of the Bandit Set",Base Game,bandit-mask-east-limgrave,base-game,' ',1.0
Cracked Pot,Consumable,' ',,,East Limgrave,Sold by merchant,Base Game,cracked-pot-east-limgrave,base-game,' ',1.0
"D, Hunter of the Dead",NPC,' ',,,East Limgrave,"From the merchant near Saintsbridge, head East down toward Summonwater Village, speak to D and exhaust dialogue",Base Game,d-hunter-of-the-dead-east-limgrave,base-game,' ',1.0
Summonwater Village Outskirts,SoG/Location,' ',,,East Limgrave,"After speaking to D, head East toward the Summonwater Village",Base Game,summonwater-village-outskirts-east-limgrave,base-game,' ',1.0
Tibia Mariner,Boss,' ',,,East Limgrave,Tibia Mariner in Summonwater Village. Drops the Skeletan Militiaman Ashes and a Deahtroot,Base Game,tibia-mariner-east-limgrave,base-game,' ',1.0
Deathroot,Quest Item,' ',,,East Limgrave,Dropped by Tibia Mariner in Summonwater Village. Second one found,Base Game,deathroot-east-limgrave,base-game,' ',1.0
Skeletal Militiaman Ashes,Spirit Ashes,' ',,,East Limgrave,Dropped by Tibia Mariner in Summonwater Village,Base Game,skeletal-militiaman-ashes-east-limgrave,base-game,' ',1.0
Green Turtle Talisman,Talisman,' ',,,East Limgrave,"In an underground area beneath Summonwater Village, on the East side, need Stonesword Key",Base Game,green-turtle-talisman-east-limgrave,base-game,' ',1.0
Strength-Knot Crystal Tear,Crystal Tear,' ',,,West Limgrave,"Return to the Warmaster's Shack SoG, then head Northwest. Youll find some giant pillars with an elevated area to your left. Go to the elevated area and hug the cliff edge, will be found near the giant enemy in a stone bowl",Base Game,strength-knot-crystal-tear-west-limgrave,base-game,' ',1.0
Recusant Henricus,Invader,' ',,,West Limgrave,"North of Warmaster's Shack SoG or North/Northeast of the Strength-Knot Crystal Tear, near colosseum structure. This is an invader. Drops Hammer Talisman",Base Game,recusant-henricus-west-limgrave,base-game,' ',1.0
Hammer Talisman,Talisman,' ',,,West Limgrave,Dropped by Recusant Henricus,Base Game,hammer-talisman-west-limgrave,base-game,' ',1.0
Small Red Effigy,Online,' ',,,West Limgrave,Sitting outside Colosseum door,Base Game,small-red-effigy-west-limgrave,base-game,' ',1.0
Duelist's Furled Finger,Online,' ',,,West Limgrave,Sitting outside Colosseum door,Base Game,duelist-s-furled-finger-west-limgrave,base-game,' ',1.0
Ash of War: Golden Vow,Ash of War,' ',,,West Limgrave,"Southeast from the Coloseum, kill mounted enemy along the cliff",Base Game,ash-of-war-golden-vow-west-limgrave,base-game,' ',1.0
Deathbird,Boss,' ',,,West Limgrave,"At night, you can go Southeast from Warmaster's Shack SoG to encounter on top of a ruin in a plateau with the giant trolls. Drops the Blue-Feathered Branchsword",Base Game,deathbird-west-limgrave,base-game,' ',1.0
Blue-Feathered Branchsword,Talisman,' ',,,West Limgrave,Dropped by Deathbird found near Warmaster's shack,Base Game,blue-feathered-branchsword-west-limgrave,base-game,' ',1.0
Lance,Great Spear,' ',,,West Limgrave,Near Ash of War: Golden Vow along the cliff. Look for the large square ruins building and jump down to find this on a corpse,Base Game,lance-west-limgrave,base-game,' ',1.0
Deathtouched Catacombs,SoG/Location,' ',,,West Limgrave,"From Saintsbridge SoG, head West back toward the camp. Hug the right cliff face and there will be a spot just before the camp that you can jump up to on torrent. Look for the door on the left. Contains Grave Glovewort 1",Base Game,deathtouched-catacombs-west-limgrave,base-game,' ',1.0
Uchigatana,Katana,' ',,,Deathtouched Catacombs,Up on the ledge with the archer skeletons,Base Game,uchigatana-deathtouched-catacombs,base-game,' ',1.0
Black knife Assassin,Boss,' ',,,Deathtouched Catacombs,Drops the Assassin's Crimson Dagger,Base Game,black-knife-assassin-deathtouched-catacombs,base-game,' ',1.0
Assassin's Crimson Dagger,Talisman,' ',,,Deathtouched Catacombs,Dropped by the Black Knife Assassin,Base Game,assassin-s-crimson-dagger-deathtouched-catacombs,base-game,' ',1.0
Deathroot,Quest Item,' ',,,Deathtouched Catacombs,Found in chest after defeating the Black Knife Assassin. First one found,Base Game,deathroot-deathtouched-catacombs,base-game,' ',1.0
Ghost,Ghost,' ',,,West Limgrave,Found kneeling just outside of the Deathtouched Catacombs. Exhaust dialogue for lore,Base Game,ghost-west-limgrave,base-game,' ',1.0
Lance Talisman,Talisman,' ',,,West Limgrave,North/Northeast of the Deathtouched Catacombs past the bridge's pillars,Base Game,lance-talisman-west-limgrave,base-game,' ',1.0
Highroad Cave,SoG/Location,' ',,,West Limgrave,"Jump down from Saintsbridge SoG using Spirit Spring, then follow the canyon North past the land octopus enemies, on the left. Contains Smithing Stone 1,2",Base Game,highroad-cave-west-limgrave,base-game,' ',1.0
Shamshir,Curved Sword,' ',,,Highroad Cave,Continue through the cave and down a hole near the wolves. Continue through until you find the waterfall area with the large bat enemies. Sitting on the circular platform,Base Game,shamshir-highroad-cave,base-game,' ',1.0
Guardian Golem,Boss,' ',,,Highroad Cave,"Boss is found behind a waterfall near the end of the area, after defeating the giant land octopus enemy. Drops the Blue Dancer Charm",Base Game,guardian-golem-highroad-cave,base-game,' ',1.0
Blue Dancer Charm,Talisman,' ',,,Highroad Cave,Dropped by the Guardian Golem boss,Base Game,blue-dancer-charm-highroad-cave,base-game,' ',1.0
Murkwater Coast,SoG/Location,' ',,,West Limgrave,"Take the road Southeast from Agheel Lake North SoG. At the bridge, turn left (North) then follow the cliff to the right. Will be down a small cliff on the right side, near the ruin structures",Base Game,murkwater-coast-west-limgrave,base-game,' ',1.0
Armorer's Cookbook 1,Cookbook,' ',,,West Limgrave,Southwest from Murkwater Coast SoG in an unnamed enemy camp,Base Game,armorer-s-cookbook-1-west-limgrave,base-game,' ',1.0
Artist's Shack,SoG/Location,' ',,,West Limgrave,"From Murkwater Coast SoG, climb on top of the ruin buildings and to the other side of the canyon, then continue East",Base Game,artist-s-shack-west-limgrave,base-game,' ',1.0
Homing Instinct Painting,Painting,' ',,,West Limgrave,In Artists Shack,Base Game,homing-instinct-painting-west-limgrave,base-game,' ',1.0
Finger Reader Crone,NPC,' ',,,West Limgrave,"Return to Stormhill Shack SoG, then follow road leading North/Northwest and continue between the large pillars. You will come across a broken bridge with a Finger Reader Crone. Exhaust dialogue for lore by choosing ""Show Hands"" option",Base Game,finger-reader-crone-west-limgrave,base-game,' ',1.0
Nomadic Warrior's Cookbook 7,Cookbook,' ',,,West Limgrave,"Continue to end of bridge near Finger Reader Crone, located North/Northwest from Stormhill Shack SoG along the road and through the giant stone pillars",Base Game,nomadic-warrior-s-cookbook-7-west-limgrave,base-game,' ',1.0
Ash of War: Storm Wall,Ash of War,' ',,,West Limgrave,Drop to cliff from the broken end of the bridge where you found the Nomadic Warrior's Cookbook 7 and kill the scarab,Base Game,ash-of-war-storm-wall-west-limgrave,base-game,' ',1.0
Fringefolk Hero's Grave,SoG/Location,' ',Limgrave,Stranded Graveyard,,Warp back to Stranded Graveyard and use two stonesword keys to unlock,Base Game,fringefolk-hero-s-grave-stranded-graveyard,base-game,' ',1.0
Erdtree's Favor,Talisman,' ',,,Fringefolk Hero's Grave,"Continue through the area and past the chariot, until you reach a narrow bridge. Drop directly to the left or right of that bridge, then progress past the fire pillar until you find another bridge, at the end of it you will find this item",Base Game,erdtree-s-favor-fringefolk-hero-s-grave,base-game,' ',1.0
Erdtree Greatbow,Greatbow,' ',,,Fringefolk Hero's Grave,"Received by destroying the chariot with the giant hanging pots. To reach this area, from the two scion enemies near the Erdtree's Favor talisman, head back to the entryway you came from but drop down near the end of the bridge, and again into the water. Use lift to go up to a platform where you can fight an enemy and then shoot at the three hanging pots. Wait for the chariot to be underneath to destroy it. YOU HAVE TO HIT THE ROPE, NOT THE POT",Base Game,erdtree-greatbow-fringefolk-hero-s-grave,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Fringefolk Hero's Grave,Found on the ledge where you can shoot the hanging pots to destroy the chariot,Base Game,stonesword-key-fringefolk-hero-s-grave,base-game,' ',1.0
Dragon Communion Seal,Seal,' ',,,Fringefolk Hero's Grave,"Return to beginning of area or drop down from ledge if you destroyed the chariot, then continue down. When you can go up to the right, do so. Continue up and defeat the lone enemy in the room",Base Game,dragon-communion-seal-fringefolk-hero-s-grave,base-game,' ',1.0
Ulcerated Tree Spirit,Boss,' ',,,Fringefolk Hero's Grave,Continue back down the area. Drops Golden Seed and the Banished Knight Oleg Ashes,Base Game,ulcerated-tree-spirit-fringefolk-hero-s-grave,base-game,' ',1.0
Golden Seed,Flask,' ',,,Fringefolk Hero's Grave,Dropped by Ulcerated Tree Spirit in Fringefolk Hero's Grave,Base Game,golden-seed-fringefolk-hero-s-grave,base-game,' ',1.0
Banished Knight Oleg Ashes,Spirit Ashes,' ',,,Fringefolk Hero's Grave,Dropped by Ulcerated Tree Spirit in Fringefolk Hero's Grave,Base Game,banished-knight-oleg-ashes-fringefolk-hero-s-grave,base-game,' ',1.0
Ash of War: Wild Strikes,Ash of War,' ',,,West Limgrave,Return to Stormhill Shack SoG and head along the road toward the castle. Kill the scarab,Base Game,ash-of-war-wild-strikes-west-limgrave,base-game,' ',1.0
Castleward Tunnel,SoG/Location,' ',,,West Limgrave,"Continue along the road from Stormhill Shack SoG, past the enemies and into the tunnel leading to the castle",Base Game,castleward-tunnel-west-limgrave,base-game,' ',1.0
Sorceror Rogier,Summon,' ',,,West Limgrave,"Summon sign found just before a gate leading to the Margit, the Fell Omen boss fight",Base Game,sorceror-rogier-west-limgrave,base-game,' ',1.0
"Margit, the Fell Omen",Boss,' ',,,West Limgrave,Drops the Talisman Pouch. You can summon Rogier for this fight if you'd like,Base Game,margit-the-fell-omen-west-limgrave,base-game,' ',1.0
Talisman Pouch,Key Item,' ',,,West Limgrave,Received by defeating Margit,Base Game,talisman-pouch-west-limgrave,base-game,' ',1.0
